,sentence_chunks,sentence_chunks_count,page_number
0,"இவ்வுலகத்திற் பலவகையான உயிர்ப் பிராணிகள் வாழ் கின்றன. அவற்றில் மனிதர்களாகிய நாம் மற்றைய உயிர்ப் பிராணிகளைவிட அறிவில் உயர்ந்து விளங்குகின்றோம். மிருகங் களைப் பாருங்கள்! அவைகள் பண்டை நாளிலிருந்து ஒரே வகையான வாழ்க்கையையே கொண்டிருக்கின்றன. பறவைகளும் அவ்வாறே இருக்கின்றன. நாமும் உலகத்திற் றோன்றிய காலத்தில் மிருகங்களைப் போலவே உடுக்க உடையில்லாமலும், உண்ண உணவில்லாமலும், இருக்க இடமில்லாமலும், மலைகளிலும் காடுகளிலும் வாழ்ந்து கொண்டிருந்தோம். வரவர நமது அறிவு பெருகி இப்பொழுதுள்ள நிலைமையை அடைந்திருக்கின்றோம்.",71,volume_01_work_01.txt
1,"முற்காலத்தில் எல்லா வேலைகளையும் மனிதர்களே உடலை வருத்திச் செய்து கொண்டு வந்தனர். இக்காலத்திலோ எல்லா வேலைகளையும் இயந்திரங்களைக் கொண்டே செய்கின்றோம், அதற்குக் காரணம் அறிவின் மிகுதியேயாகும்.",26,volume_01_work_01.txt
2,"அறிவென்பது எல்லோரிடத்திலும் இருக்கின்றது. கடவுள் அனைவரையும் தமது பிள்ளைகளாகக்கொண்டிருக்கின்றார். ஆதலின் எல்லோருக்கும் ஒருவிதமாகவே அறிவைக் கொடுத் திருக்கின்றார். ஆயினும், சிலர் இவ்வுலகில் மிகுந்த அறிவுடை யவராக விளங்கிச் செய்தற்கரிய செயல்களை யெல்லாஞ் செய்கின்றனர். சிலரோ மிருகங்களைப் போல உண்ணுவதும் உறங்குவதுமாகவே இருக்கின்றனர். அதற்குக் காரணம் யாதெனில், தங்கள் அறிவை வளர்த்துக் கொள்ளாமையேயாகும். ஒரு நிலத்திற் பயிர் செய்வோமாயின், காலந் தவறாது தண்ணீர் பாய்ச்சிக் களையெடுத்துக் காப்பாற்றினால் தான் அப்பயிர் ஓங்கி",67,volume_01_work_01.txt
3,"வளர்ந்து பலன் தரும். அதுபோல நமது அறிவை வளர்க்க வேண்டுமாயின் கல்வியென்னுந் தண்ணீரைப் பாய்ச்சி, அறியாமையாகிய களையைப் பிடுங்கி எறிதல் வேண்டும். அப்பொழுதுதான் நாமும் எல்லோராலும் கொண்டாடப் பெற்று உலகத்திற்கு நன்மை செய்யுந் தன்மையுடையவராவோம். கல்வியே அறிவை வளர்க்கும் கருவியாதலால் கல்வியை அனை வரும் அசட்டை செய்யாமற் கற்க வேண்டும்.",44,volume_01_work_01.txt
4,கற்றவர்களுக்குத்தான் உலகத்தில் நடைபெறும் செய்திகளெல்லாம் தெரியும். கல்லாதவர்கள் உலக நிகழ்ச்சிகளை அறிய முடியாத வராய்க் கிணற்றுத் தவளைபோல் வாழ்வார். இதனாற் பெரியோர் கற்றவர் கள்தான் கண்களையுடையவர் களென்றும்;கல்லாதவர்கள் கண்களை யுடைய வராயிருப்பினும் கண்ணில்லாதவர்களே யாவார்களென்றும் வலியுறுத்திக் கூறியிருக்கின்றார்கள்.,33,volume_01_work_01.txt
5,"ஒருவன் தனது தலைமயிரைப் பலவாறு அழகுபெற வைத்துக் கொண்டிருந்தாலும், நல்ல விலையுயர்ந்த பட்டு நூலாடைகளையும், பருத்தி நூலாடைகளையும், உடுத்தியிருந் தாலும், காதிற் கடுக்கன், கழுத்தில் பொற்கலன், கைகளில் மோதிரம் முதலிய அணிகலன்களை அணிந்திருந்தாலும், அவை யெல்லாம் அழகுடையனவாகா. கல்வியைக் கற்றிருப்பானாயின் அதுவே சிறந்த ஆபரணமாகும். கல்வியைக் கற்றவனுக்கு மேற் கூறிய ஆபரணங்கள் வேண்டிய கட்டாயமில்லை. குப்பையிற் கிடந்தாலும் குன்றிமணி நிறம் மாறாதது போற் கற்றவன் எங்கே இருப்பினும் எப்படி இருப்பினும் அவன் மதிப்புக் குறையாது.",74,volume_01_work_01.txt
6,"கடல் பெரிதாயிருப்பினும் அதன் நீரை மக்கள் ஒருவரும் பயன்படுத்திக் கொள்வதில்லை. கிணற்றிலுள்ள நீர் குறைவா யிருப்பினும் நல்ல நீராயிருக்குமாயின் அதனை யாவரும் விரும்பி உண்ணுகின்றனர். அதுபோல, உயர்ந்த குலமென்று சொல்லப் படும் குலத்திற் பிறந்தானாயினும் கல்லாதவனா யிருப்பின் அவனை ஒருவரும் விரும்ப மாட்டார்கள். தாழ்ந்தகுலத்திற் பிறந்தானாயினும் கல்வி கற்றிருப்பானாயின் அவனை யாவரும் போற்றுவர். பிறப்பினாலே உயர்வு தாழ்வில்லை. ஒழுக்கத் தினாலும் அறிவினாலுமே ஒருவனை உயர்ந்தவனென்றும் தாழ்ந்தவனென்றும் கூறுவர் ஆன்றோர். ஆதலாற் கல்வி",67,volume_01_work_01.txt
7,ஓரறையில் தூசு நிறைந்திருந்தால் கூட்டுக்கோலால் அவற்றைக் கூட்டவேண்டும். அப்பொழுதுதான் தூசுகள் போகும். ஒரு துணியில் அழுக்குப் பிடித்திருந்தால் அழுக்கு விட்டுத் தூய்மையாகும். அதுபோலக் கல்வியைக் கற்றால் தான் நமது அறியாமையைப் போக்கிக்கொள்ள முடியும். இருண்ட வீட்டிலுள்ள பொருள்களைக் காணவேண்டுமாயின் வெளிச்சங் கொண்டு பார்க்கவேண்டும். அப்பொழுது தான் எல்லா வற்றையும் பார்க்க முடியும். அதுபோல நமது நிலையை நாம் காப்பாற்றிக்கொள்ள வேண்டுமாயின் கல்வியாகிய விளக்கைக் கையில் ஏந்திக்கொள்ள வேண்டும். ஆண்பாலர் பெண்பாலர் அனைவரும்,63,volume_01_work_01.txt
8,முதலில் நாம் நமது தாய்மொழியையே பயிலுதல் வேண்டும். ஏனெனில் நாம் பிறந்தது முதல் பேசிக் கொண்டே வருகின்றோமாதலின் அதைக் கற்பது மிகவுமெளிதாகும். தாய் மொழியிற்போதுமான பயிற்சியடைந்த பின்னரே வேற்று மொழியையுங் கற்கவேண்டும். தாய் மொழியைப் படிக்காமல் பிறமொழிகளை மட்டும் படித்தல் தாயைப் பட்டினி போட்டு விட்டுத் தானதருமஞ் செய்வதை யொக்கும். நம்மால் எவ்வளவு மொழிகளைக் கற்க முடியுமோ அவ்வளவு மொழிகளையும் கற்கவேண்டும். ஒரு மொழியை மாத்திரம் படித்தவர்களைவிடப் பல மொழிகளைக்கற்றவர் சிறந்த அறிவுடையவர்களாக இருப்பார்கள். ஆதலால் நாமும்,66,volume_01_work_01.txt
9,"நாம் நமக்குக் கல்வி பயிற்றும் ஆசிரியரிடம் அன்புடன் நடந்துகொள்ள வேண்டும். நம்முடைய தாய் தந்தையர் நமக்குத் தேடிக்கொடுக்கும் செல்வம் நிலையற்றதாகும். ஆனால் ஆசிரியர் கொடுக்கும் கல்வியோ என்றென்றும் அழியாமல் நம்மிடத்தி லேயே நிலைத்திருக்கும். அத்தகைய நிலைத்த பொருளைக் கொடுக்கும் ஆசிரியரை நாம் போற்ற வேண்டாமா? நம்மை யாவரும் கற்றவரென்றும், அறிவுடையவரென்றும் கொண்டாடு வதற்குக் காரணமா யிருப்பவர் நமது ஆசிரியரேயாவர். ஆதலால் நாம் அவருக்கு என்றும் மறவா நன்றிசெலுத்தவேண்டும். ஆசிரியன் அன்பைப் பெற்றிருக்கும் மாணவன் மந்த",68,volume_01_work_01.txt
10,"விரைவில் கல்வியில் தேர்ச்சிபெறவேண்டுமாயின், படித்த பாடங்களை மறவாமற் காப்பாற்றவேண்டும். தன்னுடன் படிக்கும் மாணாக்கர்களுடன் அடிக்கடி போய்த் தனக்குத் தெரியாதவனவற்றைக் கேட்டுக்கொள்ள வேண்டும். அவர்களுக்குத் தெரியாதனவற்றைத் தான் அறிந்திருந்தால் அவர்",26,volume_01_work_01.txt
11,களுக்குக் கூறவேண்டும். ஐயுற்ற பாடங்களை ஆசிரியரிடம் சென்று கேட்டுக் கொள்ளுதல் வேண்டும். ஆசிரியர் பாடஞ் சொல்லும்போது வேறு பொருள்களில் நினைவைச் செலுத்தாமல் பாடத்திலேயே கருத்தைப் பதிக்கவேண்டும். பாடம் முடிந்தபின் ஆசிரியர் கூறியவற்றை நினைவிற்குக் கொண்டுவரவேண்டும். படிக்கும்போது மனத்தை வேறு பொருள்களில் செலுத்தாமற் பாடத்திலேயே செலுத்திப் படிப்போமாயின் விரைவிற் படிக்கலாம். படித்ததும் மறக்காமல் நினைவிலிருக்கும். காலையில் எழுந்து படித்தல் வேண்டும். காலையிற் படிக்கும் படிப்பு எப்பொழுதும் நினைவிலிருக்கும். மேற்கூறிய,63,volume_01_work_01.txt
12,"கல்வியைக் கற்பதுமட்டில் போதாது. கற்றதன்படி நடக்க முயலவேண்டும். அதுதான் நல்லொழுக்கமாகும் தாய் தந்தையரிடம் பணிவுடன் நடந்துகொள்ளுதல், ஆசிரியரிடம் வணக்கமோடிருத்தல், தெய்வத்தை வணங்குதல், பெரியோர் களுக்குக் கீழ்ப்படிதல், பொய் கூறாமை, திருடாமை, கெட்ட பொருள்களைக் கைக்கொள்ளாமை முதலியனவே நல்லொழுக் கங்களாம். ஆகையால்  நாமனைவருங்கல்வியிற் கருத்தூன்றி யவர்களாகவும் கற்றதன்படி நடப்பவர்களாகவுமிருக்க முயல வேண்டும்.",51,volume_01_work_01.txt
13,"காங்கிர சர்க்காரின் அடக்குமுறைகளுக்காளாகி, சிறையில் வயிற்று நோயால் மிகவும் துன்புற்று, 167 நாட்களுக்குப்பின் 1939 மே மாதம் 22ம் நாளில் விடுதலையானார். கட்டாய இந்தியை எடுக்காமலே சர்க்கார் திடீரென்று இவ்விதம் அவரை விடுதலை செய்த காரணம் இன்னதென இதுவரையில் எவராலும் அறிய முடியவில்லை. ஆனால், அவர் சிறைக்குப் போகுமுன் 190 பவுண்டு நிறையிருந்தாரென்பதும், விடுதலை யான அன்று 166 பவுண்டு மட்டுமே இருந்தாரென்பதும் உண்மை.",58,volume_01_work_02.txt
14,"பெரியார் விடுதலையான செய்தி தமிழ்மக்களுக்கு அளவிலா மகிழ்ச்சியைக் கொடுத்தது. ஏனெனில், சிறையில் அவருடைய உடல் நிலை மிகக் கேவலமாயிருந்தபடியாலும், அதற்கு முன்இந்தி எதிர்ப்புக் கைதிகளில் இரு இளைஞர்கள் சிறையிலேயே உயிர் நீத்துவிட்ட படியாலும் பெரியாரை உயிருடனாவது வெளியில் பார்க்க முடியுமா என்றே தமிழர்கள் அய்யுற்று ஏங்கியிருந்தனர். எனவே, அவர் வெளியில் வந்ததும் பல ஊர்களிலும், முக்கியமாகச் சென்னை நகரத்திலும் அவருக்கு அளிக்கப்பட்ட வரவேற்பு எப்படியிருந்திருக்க வேண்டும் என்பதை வாசகர்களே சிந்தித்துக் கொள்ள வேண்டும்.",66,volume_01_work_02.txt
15,"சிறையினின்றும் வெளிவந்த மறுநாள் மாலை ஈரோட்டில் நடந்த வரவேற்புக் கூட்டத்தில் ஈ.வெ.ரா. பேசியவற்றுள் சில வாக்கியங்களைப் பாருங்கள் :-
மீண்டும் சிறை செல்வதற்காகவே நான் விடுதலை செய்யப் பட்டிருப்பதாக எண்ணுகிறேன். நான் இங்கு எதைப் பார்க்கிறேன்? என்னுடன் சிறைசென்ற தமிழர்களைப் பார்க்க முடியவில்லையே... நான் சிறையிலேயே இருந்திருக்க வேண்டுமென்று கருதுகிறேன். அப்படி நான் இருந்திருப்பேனேயானால், நமது இயக்கம் மிகவும் ஓங்கி உச்சநிலை அடைய வழி ஏற்பட்டிருக்கும்.",61,volume_01_work_02.txt
16,"பெரியார் சென்னையில் பெருத்த ஆடம்பரத்துடன் வரவேற்கப் பட்டார். அவர் சிறையிலிருந்த காலத்தில் விற்பனை வரி போடப்பட்டதால், சென்னை நகரத்திலுள்ள ஆயிரக் கணக்கான வணிகர்களும் இவ்வரவேற்பில் மிக மகிழ்ச்சியுடன் கலந்து கொண்டனர். சென்னையில் பத்திரிகை நிருபர்கட்குப் பெரியார் பேட்டியளித்தபோது, இந்தியை மேலும் 100 பள்ளிகளில் சர்க்கார் கட்டாயமாய் வைத்திருப்பதால், இந்தி எதிர்ப்பு இயக்கம் இனியும் நூறு மடங்கு அதிக வேகமாக நடத்தப்படும் என்றும், காங்கிர அரசின் விற்பனை வரி விதித்திருப்பது அக்கிரமம் என்றும், நீதிக்கட்சியின் எதிர்கால",65,volume_01_work_02.txt
17,"வேலை தம்முடைய சமதர்மத் திட்டத்தை அடிப்படையாகக் கொண்டதாகவே இருக்குமென்றும், ஆந்திரர்களுக்குத் தனி மாகாணம் கொடுக்க வேண்டியது மிக மிக அவசியமென்றும் வற்புறுத்திக் கூறினார்.",23,volume_01_work_02.txt
18,"உடல்நிலை மிகக் கேவலமாயிருந்தபடியால் மருத்துவரின் யோசனைப்படி, பெரியார் கொடைக்கானலில் ஒரு வாரம் தங்கியிருந்தார். இச்சமயத்தில் 07.06.1939 திடீரென எவ்வித அறிக்கையுமின்றி யாது காரணமுமின்றிக் காங்கிர சர்க்கார் எஞ்சியுள்ள எல்லா இந்தி எதிர்ப்புக் கைதிகளையும் விடுதலை செய்து விட்டது.",34,volume_01_work_02.txt
19,"ஆயினும், பள்ளிக்கூடம் கோடை கால விடுமுறைக்குப் பின் திறக்கப்பட்டதும் இந்தி எதிர்ப்பு மறியல் மிக மும்முரமாக ஆரம்பித்தது. பெரியார் மறுமுறையும் சென்னை வரவேற்கப் பட்டார். சென்னைப் பொதுமக்களால் 1001 ரூபாய்கள் கொண்ட பணமுடிப்பு (1001 பேர் இந்தி எதிர்ப்பில் அதுவரையில் சிறை சென்றிருந்தபடியால் அதைக் குறிக்கும் பொருட்டு) தமிழரின் இயக்க வளர்ச்சிக்காக, அதாவது நீதிக்கட்சியைப் பரப்பு வதற்காகப் பெரியாருக்கு அளிக்கப்பட்டது. இதைப் பின்பற்றி, வட ஆற்காடு, கோயம்புத்தூர், இராமநாதபுரம், திருச்சி, தஞ்சை, சேலம் முதலிய",69,volume_01_work_02.txt
